"","geneModuleMembership","geneTraitSignificance","SYMBOL"
"1","0.920745591806412","0.448366803726542","C1orf158"
"2","-0.939811047917388","0.214086519078262","KCNQ4"
"3","0.859681061450475","0.366023002314003","LRRC71"
"4","-0.970080040392365","0.566498709144546","PTCH2"
"5","-0.965060436821937","0.37018367848542","PQLC3"
"6","-0.276874308412162","0.348699704430065","PPIL3"
"7","0.965033558547364","0.3611610028687","IQCA1"
"8","0.967860798165603","0.342322211829524","PCNP"
"9","0.920048781203652","0.601485591476845","OTOP1"
"10","0.922664586991553","0.659479953935062","C5orf49"
"11","0.877897947596305","0.399816294216356","CXXC5"
"12","-0.958360531122513","0.330102896343533","HDAC9"
"13","0.871602933615409","0.794004679460418","GNGT1"
"14","0.842211832328452","0.158780618073934","TRIM4"
"15","-0.804064463887255","0.422894363706438","CACNA1B"
"16","-0.886563874029414","0.327425856733636","BEST1"
"17","-0.844719050072507","0.271476750488106","CATSPER1"
"18","-0.931409405260023","0.229703490209323","GRM5"
"19","0.912710446312769","0.135814298841684","ORAOV1"
"20","-0.891016080358626","0.616203120993651","AQP5"
"21","-0.515469955565785","0.16945116871446","C14orf180"
"22","-0.844813810106103","0.219675741101575","ZNF774"
"23","-0.740976048325144","0.132061994625392","ZNF778"
"24","-0.859709310605635","0.546249953505278","AKTIP"
"25","0.590091567843437","0.0331921477723172","GPR142"
"26","-0.175408403996758","0.710963924740252","ORMDL3"
"27","-0.898348238342425","0.303705112380183","KRT38"
"28","0.891450186826206","0.693502418985832","SPEM1"
"29","0.866837259653555","0.56138928624148","SLC25A41"
"30","0.922919459561822","0.69700871798922","TTLL8"
"31","0.916021623396805","0.528413306142919","MMP11"
